Entity,Code,Year,Daily caloric intake per person that comes from animal protein,Daily caloric intake per person that comes from vegetal protein,Daily caloric intake per person from fat,Daily caloric intake per person from carbohydrates
Yemen,YEM,1962,28.501.108,1.637.805,26.492.825,11.934.335
Yugoslavia,OWID_YGS,1962,8.980.407,28.362.347,619.094,22.120.422
Zambia,ZMB,1962,43.594.154,19.806.226,30.691.977,15.681.403
Zimbabwe,ZWE,1962,51.596.153,19.902.502,35.219.122,15.348.273
Afghanistan,AFG,1963,579.322,25.669.678,35.404.938,20.831.013
Africa,0,1963,4.076.384,17.225.415,36.364.587,14.673.142
Africa (FAO),0,1963,42.08,170.6,368.01,1447.31
Albania,ALB,1963,6.809.006,17.414.548,36.414.117,14.156.542
Algeria,DZA,1963,301.741,13.310.672,24.282.243,11.431.584
Americas (FAO),0,1963,169.24,140.28,704.52,1541
Angola,AGO,1963,2.926.049,11.179.681,24.960.397,13.449.242
Antigua and Barbuda,ATG,1963,12.000.831,9.823.165,49.361.404,13.119.547
Argentina,ARG,1963,26.835.217,15.454.752,9.134.341,17.325.442
Asia,0,1963,32.023.872,16.357.951,24.139.096,1.437.671
Asia (FAO),0,1963,32.16,164.2,242.46,1443.14
Australia,AUS,1963,28.188.916,15.345.659,10.069.166,17.196.616
Austria,AUT,1963,20.172.827,16.037.277,10.728.685,18.189.707
Bahamas,BHS,1963,14.597.987,12.698.564,54.420.776,14.594.541
Bangladesh,BGD,1963,22.113.855,15.714.537,14.380.855,18.041.284
Barbados,BRB,1963,12.765.223,13.237.422,55.916.797,18.076.561
Belgium-Luxembourg (FAO),0,1963,194.52,161.28,1054.53,15.966.699
Belize,BLZ,1963,9.251.899,14.397.687,5.282.927,15.350.386
Benin,BEN,1963,27.761.913,12.643.239,31.926.202,11.681.597
Bermuda,BMU,1963,26.968.207,10.232.202,9.949.124,13.269.783
Bolivia,BOL,1963,53.933.167,123.203.125,29.233.484,11.750.542
Botswana,BWA,1963,105.517.715,18.519.017,35.288.647,13.821.157
Brazil,BRA,1963,71.913.895,15.774.017,352.404,16.532.521
Brunei,BRN,1963,9.440.931,97.775.604,35.770.724,13.493.875
Bulgaria,BGR,1963,9.442.885,27.006.412,68.175.165,22.205.317
Burkina Faso,BFA,1963,2.220.955,15.973.174,2.054.987,10.730.795
Cambodia,KHM,1963,19.100.136,15.982.257,14.707.521,17.062.648
Cameroon,CMR,1963,396.193,18.928.754,3.020.445,16.428.419
Canada,CAN,1963,231.602,13.916.154,98.901.666,15.443.007
Cape Verde,CPV,1963,16.412.685,14.663.335,22.508.398,10.760.017
Caribbean (FAO),0,1963,76.16,129.32,399.15,1545.33
Central African Republic,CAF,1963,28.787.321,9.350.521,3.501.356,14.464.645
Central America (FAO),0,1963,65.24,171.4,430.83,1526.53
Chad,TCD,1963,4.571.688,25.215.715,5.137.791,15.307.417
Chile,CHL,1963,91.290.535,17.014.969,4.891.422,1.759.526
China,CHN,1963,18.174.545,15.626.114,17.147.983,1.245.855
China (FAO),0,1963,19.6,156.68,177.3,12.604.199
Colombia,COL,1963,92.355.034,10.581.586,3.578.605,15.728.518
Congo,COG,1963,52.257.805,8.364.318,31.967.615,1.552.051
Costa Rica,CRI,1963,82.433.815,11.356.405,42.159.317,13.858.591
Cote d'Ivoire,CIV,1963,55.816.647,15.101.566,27.206.403,1.857.092
Cuba,CUB,1963,9.646.136,12.954.732,48.600.925,16.384.645
Cyprus,CYP,1963,859.556,17.899.483,6.052.215,13.891.619
Czechoslovakia,OWID_CZS,1963,168,200.88,964.62,2063.5
Denmark,DNK,1963,18.496.469,13.366.794,11.865.232,15.962.766
Djibouti,DJI,1963,6.956.532,9.996.397,21.877.716,12.608.716
Dominica,DMA,1963,8.167.024,1.022.604,37.400.378,13.102.063
Dominican Republic,DOM,1963,60.768.665,10.125.428,31.882.422,13.844.288
East Timor,TLS,1963,14.374.649,11.898.037,32.700.287,12.269.529
Eastern Africa (FAO),0,1963,42.8,178.12,26.136.002,1498.72
Eastern Asia (FAO),0,1963,30.76,163.44,197.19,13.615.701
Eastern Europe (FAO),0,1963,156.24,235.4,712.26,2098.14
Ecuador,ECU,1963,73.281.746,12.702.169,4.238.616,13.964.178
Egypt,EGY,1963,34.479.847,21.669.481,38.424.857,16.167.887
El Salvador,SLV,1963,5.126.033,12.697.846,34.064.066,11.486.984
Eswatini,SWZ,1963,8.546.027,16.820.815,3.431.264,15.609.656
Ethiopia (former),OWID_ERE,1963,43.752.926,18.785.307,23.399.931,12.789.369
Europe,0,1963,1.675.185,2.039.732,84.523.206,1.904.445
Europe (FAO),0,1963,167.6,202.92,846.54,1895.94
European Union (27),0,1963,16.782.393,18.577.417,8.902.447,1.786.301
European Union (27) (FAO),0,1963,168.08,184.52,892.26,1775.14
Fiji,FJI,1963,62.427.673,16.152.173,5.902.082,18.676.641
Finland,FIN,1963,21.873.756,15.827.483,10.984.965,15.966.143
France,FRA,1963,23.642.117,18.081.648,100.516.437,18.485.228
French Polynesia,PYF,1963,110.293.015,13.605.959,51.709.076,16.278.152
Gabon,GAB,1963,12.145.211,846.367,2.243.512,13.890.553
Gambia,GMB,1963,3.942.135,15.922.641,44.010.352,12.570.573
Germany,DEU,1963,18.420.787,13.812.572,1.046.085,15.484.409
Ghana,GHA,1963,47.790.768,102.906.845,270.057,13.890.269
Greece,GRC,1963,12.705.814,21.651.057,7.982.886,16.289.862
Grenada,GRD,1963,76.357.895,10.357.647,43.309.784,11.682.681
Guatemala,GTM,1963,47.008.625,16.609.447,31.730.823,13.667.798
Guinea,GIN,1963,14.312.932,15.254.997,3.974.568,13.976.437
Guinea-Bissau,GNB,1963,29.371.391,108.030.685,48.298.648,11.261.367
Guyana,GUY,1963,8.400.407,13.004.173,38.877.347,16.099.279
Haiti,HTI,1963,2.239.676,15.323.051,23.125.055,15.259.387
High-income countries,0,1963,1.840.515,16.799.814,84.398.944,17.188.762
Honduras,HND,1963,50.036.453,14.617.041,29.422.253,13.279.258
Hong Kong,HKG,1963,122.301.384,1.497.424,71.531.366,17.225.356
Hungary,HUN,1963,15.036.816,21.583.621,82.567.267,1.889.208
Iceland,ISL,1963,36.775.894,101.401.024,11.485.109,14.900.383
India,IND,1963,24.063.997,17.760.188,27.656.607,14.934.568
Indonesia,IDN,1963,1.937.007,11.745.343,25.004.097,14.178.931
Iran,IRN,1963,50.874.775,15.095.029,26.798.062,13.593.998
Iraq,IRQ,1963,53.519.203,1.673.291,3.752.973,14.200.028
Ireland,IRL,1963,23.577.673,17.912.096,10.418.513,19.607.434
Israel,ISR,1963,17.714.467,21.225.952,7.826.252,18.280.011
Italy,ITA,1963,12.919.691,21.523.466,8.088.732,19.443.754
Jamaica,JAM,1963,10.755.709,11.969.935,42.945.697,13.760.114
Japan,JPN,1963,107.207.344,19.388.979,34.803.217,19.047.711
Jordan,JOR,1963,6.607.903,35.394.656,75.486.475,28.922.327
Kenya,KEN,1963,59.078.045,20.665.024,3.100.061,16.202.317
Kiribati,KIR,1963,6.754.429,9.166.522,73.965.674,88.608.295
Kuwait,KWT,1963,11.671.667,14.825.778,57.975.885,13.718.661
Land Locked Developing Countries (FAO),0,1963,47.44,180.8,316.17,1499.59
Laos,LAO,1963,23.067.574,17.510.567,1.635.319,1.583.287
Least Developed Countries (FAO),0,1963,36.72,162.56,263.16,14.985.599
Lebanon,LBN,1963,8.312.487,1.748.683,60.032.947,15.862.897
Lesotho,LSO,1963,46.390.144,23.563.531,25.540.105,17.709.827
Liberia,LBR,1963,30.663.977,12.187.366,30.387.256,16.419.602
Low Income Food Deficit Countries (FAO),0,1963,30.84,173.28,290.34,1493.54
Low-income countries,0,1963,40.552.677,17.777.193,2.873.201,15.136.414
Lower-middle-income countries,0,1963,3.155.586,16.675.488,28.850.815,14.805.249
Macao,MAC,1963,76.605,16.492.331,61.714.465,16.967.792
Madagascar,MDG,1963,7.951.981,17.608.815,30.273.154,19.018.923
Malawi,MWI,1963,14.927.512,23.149.306,34.452.817,14.577.356
Malaysia,MYS,1963,63.102.604,14.554.716,4.839.055,18.804.283
Maldives,MDV,1963,27.481.325,9.740.905,26.298.694,11.368.503
Mali,MLI,1963,59.715.343,13.419.899,37.469.394,10.989.644
Malta,MLT,1963,124.333.374,20.959.373,6.977.829,16.929.711
Mauritania,MRT,1963,1.837.292,1.661.451,5.203.435,13.740.557
Mauritius,MUS,1963,497.578,1.418.887,42.480.722,17.183.717
Mexico,MEX,1963,7.111.368,19.285.858,4.927.603,16.917.921
Micronesia (FAO),0,1963,95.32,129.36,10.438.201,1250.46
Middle Africa (FAO),0,1963,40.36,159.72,335.16,1523.76
Mongolia,MNG,1963,21.082.396,9.483.592,7.324.506,9.337.639
Morocco,MAR,1963,35.427.437,19.384.108,3.127.881,16.374.458
Mozambique,MOZ,1963,18.797.306,1.330.687,20.518.137,16.793.274
Myanmar,MMR,1963,3.234.828,1.246.872,2.805.462,10.780.023
Namibia,NAM,1963,11.085.512,16.291.025,44.885.147,15.997.958
Nepal,NPL,1963,29.708.855,14.268.462,22.312.433,12.485.465
Net Food Importing Developing Countries (FAO),0,1963,45.32,162.6,301.59,1500.49
Netherlands,NLD,1963,21.542.966,1.396.274,11.321.995,1.550.803
New Caledonia,NCL,1963,15.142.723,126.176.575,7.681.114,16.491.602
New Zealand,NZL,1963,25.823.846,13.555.626,97.778.076,15.699.277
Nicaragua,NIC,1963,8.084.801,13.785.419,29.972.876,14.234.685
Niger,NER,1963,5.080.399,13.256.844,2.509.846,11.231.134
Nigeria,NGA,1963,19.966.713,16.645.636,52.143.915,12.888.088
North America,0,1963,2.136.026,1.433.892,8.841.004,15.669.164
North Korea,PRK,1963,4.777.553,20.386.806,19.766.882,15.023.663
Northern Africa (FAO),0,1963,39.92,178.56,360,1398.52
Northern America (FAO),0,1963,252.68,128.6,995.58,14.870.999
Northern Europe (FAO),0,1963,215.84,149,11.682.001,1619.96
Norway,NOR,1963,20.465.111,1.362.474,9.449.613,15.162.922
Oceania,0,1963,26.374.356,14.900.824,9.730.028,16.846.659
Oceania (FAO),0,1963,265.24,149.84,978.48,16.934.401
Pakistan,PAK,1963,61.409.832,1.548.388,3.145.163,1.425.628
Panama,PAN,1963,890.171,13.106.638,40.611.026,1.536.704
Paraguay,PRY,1963,12.644.789,12.976.907,4.178.309,15.019.333
Peru,PER,1963,7.505.262,12.384.072,28.740.942,14.464.775
Philippines,PHL,1963,58.436.325,961.227,25.917.798,12.668.589
Poland,POL,1963,17.764.192,2.155.989,8.186.587,2.096.269
Portugal,PRT,1963,112.765.915,18.806.342,51.547.125,18.686.023
Romania,ROU,1963,9.033.225,25.426.562,52.568.964,20.238.816
Rwanda,RWA,1963,10.306.661,18.738.675,10.431.119,15.230.522
Saint Kitts and Nevis,KNA,1963,50.991.566,8.863.533,42.931.332,11.323.783
Saint Lucia,LCA,1963,6.757.578,7.725.746,36.591.467,11.551.284
Saint Vincent and the Grenadines,VCT,1963,59.118.904,9.777.357,38.950.262,12.110.658
Samoa,WSM,1963,870.288,9.223.964,68.403.937,10.528.424
Sao Tome and Principe,STP,1963,24.401.764,1.563.898,597.388,12.540.868
Saudi Arabia,SAU,1963,3.238.953,15.209.843,23.781.197,13.207.786
Senegal,SEN,1963,58.975.094,19.688.072,62.580.634,1663.14
Sierra Leone,SLE,1963,2.884.192,1.280.997,5.189.875,11.512.827
Small Island Developing States (FAO),0,1963,74.8,128.84,404.91,1524.45
Solomon Islands,SLB,1963,62.293.118,113.253.685,32.373.053,1.476.745
South Africa,ZAF,1963,97.499.695,1.948.326,57.179.944,19.768.293
South America,0,1963,10.507.052,14.468.349,44.604.153,16.039.708
South America (FAO),0,1963,106,146,450,1618
South Korea,KOR,1963,25.756.104,19.235.374,12.561.937,18.039.486
South-eastern Asia (FAO),0,1963,35.04,127.52,25.766.998,1462.77
Southern Africa (FAO),0,1963,91.84,186.52,522.45,18.511.901
Southern Asia (FAO),0,1963,28.6,173.4,271.35,1519.61
Southern Europe (FAO),0,1963,119.04,219.4,72.585.004,1876.71
Spain,ESP,1963,125.329.414,19.936.588,72.029.376,16.537.979
Sri Lanka,LKA,1963,35.943.153,136.35,4.377.622,15.491.157
Sudan (former),0,1963,7.412.842,14.278.098,48.427.634,10.672.306
Suriname,SUR,1963,9.837.075,11.735.457,41.624.463,1.451.663
Sweden,SWE,1963,21.386.156,12.320.024,10.471.921,14.209.302
Switzerland,CHE,1963,19.971.422,16.052.902,12.133.793,17.855.302
Taiwan,TWN,1963,670.949,16.569.656,32.509.943,17.517.148
Tanzania,TZA,1963,37.753.815,13.249.985,21.091.934,14.081.171
Thailand,THA,1963,51.190.334,14.793.349,29.155.652,17.447.819
Togo,TGO,1963,22.816.198,15.268.434,30.971.014,15.229.155
Trinidad and Tobago,TTO,1963,93.949.005,14.372.884,46.690.985,16.501.061
Tunisia,TUN,1963,40.690.876,1.903.195,4.885.536,15.566.306
Turkey,TUR,1963,10.216.304,26.644.153,64.736.005,19.707.365
USSR,OWID_USS,1963,16.083.978,23.863.576,694.936,2.114.332
Uganda,UGA,1963,3.927.717,15.411.786,27.930.933,15.974.548
United Arab Emirates,ARE,1963,14.327.164,10.196.839,57.521.545,13.045.333
United Kingdom,GBR,1963,21.907.501,15.355.763,12.185.872,16.515.087
United States,USA,1963,26.873.865,13.462.245,10.508.967,15.622.385
Upper-middle-income countries,0,1963,61.106.094,17.222.389,3.457.693,15.281.989
Uruguay,URY,1963,22.776.147,11.388.074,96.868.945,1.474.402
Vanuatu,VUT,1963,117.301.216,12.604.911,80.001.416,1.478.572
Venezuela,VEN,1963,8.791.421,11.467.396,4.299.712,13.369.958
Vietnam,VNM,1963,39.562.275,15.188.509,19.709.186,15.946.412
Western Africa (FAO),0,1963,31.8,155.68,44.172.003,1327.8
Western Asia (FAO),0,1963,82.64,224.52,53.414.996,17.296.901
Western Europe (FAO),0,1963,203.16,153.48,1042.29,1654.03
World,OWID_WRL,1963,8.111.411,16.773.354,444.682,15.382.968
Yemen,YEM,1963,2.849.608,16.730.902,26.364.377,12.083.602
Yugoslavia,OWID_YGS,1963,8.529.407,28.511.557,61.390.076,2.233.766
Zambia,ZMB,1963,4.736.298,19.420.392,3.072.408,15.179.225
Zimbabwe,ZWE,1963,50.945.587,19.771.645,39.196.384,1.488.384
Afghanistan,AFG,1964,58.493.233,28.230.234,3.577.251,23.149.219
Africa,0,1964,4.140.798,17.394.818,35.810.214,14.802.102
Africa (FAO),0,1964,42.72,172.32,362.52,1459.44
Albania,ALB,1964,6.611.109,1.791.132,40.628.595,14.705.137
Algeria,DZA,1964,31.263.058,13.265.344,2.664.716,11.429.814
Americas (FAO),0,1964,170.28,142.56,718.38,1573.78
Angola,AGO,1964,34.638.603,11.656.643,25.854.706,1.342.886
Antigua and Barbuda,ATG,1964,121.092.674,10.999.284,51.134.604,13.950.894
Argentina,ARG,1964,22.950.993,1.570.672,8.599.642,18.656.638
Asia,0,1964,3.252.235,16.550.137,25.167.455,14.619.042
Asia (FAO),0,1964,32.84,166.96,25.406.999,1475.13
Australia,AUS,1964,28.960.727,15.077.472,99.364.526,17.072.789
Austria,AUT,1964,20.656.255,1.588.696,10.959.056,18.150.469
Bahamas,BHS,1964,1.562.841,12.481.102,5.818.947,14.810.398
Bangladesh,BGD,1964,2.342.341,1.559.084,14.191.888,17.884.204
Barbados,BRB,1964,1.299.034,12.848.065,5.765.624,17.427.684
Belgium-Luxembourg (FAO),0,1964,194.12,167.88,1092.78,1606.22
Belize,BLZ,1964,9.766.735,13.866.902,5.503.351,15.072.767
Benin,BEN,1964,29.618.927,12.167.255,29.733.514,11.584.602
Bermuda,BMU,1964,26.596.555,10.667.825,9.917.386,13.912.292
Bolivia,BOL,1964,51.836.124,11.655.848,29.862.192,11.201.008
Botswana,BWA,1964,104.882.904,18.653.644,3.764.459,1.396.166
Brazil,BRA,1964,7.469.614,1.620.344,36.870.502,16.946.711
Brunei,BRN,1964,853.921,9.232.401,35.084.268,13.710.917
Bulgaria,BGR,1964,9.915.272,26.982.285,69.750.354,2245.58
Burkina Faso,BFA,1964,23.023.355,17.253.452,24.852.567,11.179.688
Cambodia,KHM,1964,20.654.106,15.802.696,17.118.192,16.558.477
Cameroon,CMR,1964,37.271.805,18.665.382,2.920.467,16.613.749
Canada,CAN,1964,23.602.785,12.836.392,98.113.715,14.522.118
Cape Verde,CPV,1964,17.060.614,15.525.555,23.962.407,11.748.162
Caribbean (FAO),0,1964,79.44,123.4,414.54,1510.62
Central African Republic,CAF,1964,28.632.423,9.396.575,34.958.688,14.146.273
Central America (FAO),0,1964,64.8,178.56,43.577.997,1561.86
Chad,TCD,1964,4.603.965,24.928.883,5.028.542,15.107.452
Chile,CHL,1964,8.434.839,17.325.717,44.518.585,17.719.005
China,CHN,1964,2.019.476,1.598.587,19.304.568,1.272.912
China (FAO),0,1964,21.88,161.96,201.51,1299.65
Colombia,COL,1964,9.045.663,11.349.747,3.688.363,16.023.137
Congo,COG,1964,55.549.866,8.499.474,31.786.655,15.858.391
Costa Rica,CRI,1964,81.303.185,11.724.899,4.193.382,14.651.082
Cote d'Ivoire,CIV,1964,62.380.157,15.572.548,29.437.512,18.876.932
Cuba,CUB,1964,10.019.653,116.869.675,5.105.707,15.673.842
Cyprus,CYP,1964,8.914.544,1.855.148,6.495.571,15.322.559
Czechoslovakia,OWID_CZS,1964,17.057.063,20.150.003,94.078.235,20.564.558
Denmark,DNK,1964,19.136.174,12.997.702,12.150.209,15.788.845
Djibouti,DJI,1964,67.135.475,11.006.022,21.544.193,12.490.345
Dominica,DMA,1964,8.462.339,1.012.793,37.466.617,13.147.473
Dominican Republic,DOM,1964,6.765.997,10.209.407,3.283.019,13.746.755
East Timor,TLS,1964,1.601.723,11.533.093,3.368.589,11.757.408
Eastern Africa (FAO),0,1964,42.88,177.28,264.78,14.960.599
Eastern Asia (FAO),0,1964,31.8,167.76,219.33,13.991.101
Eastern Europe (FAO),0,1964,148.72,236.28,701.37,2117.63
Ecuador,ECU,1964,7.135.908,12.657.833,42.179.428,13.938.369
Egypt,EGY,1964,3.458.541,22.736.475,3.666.116,16.615.251
El Salvador,SLV,1964,48.772.717,12.819.096,33.314.813,11.410.479
Eswatini,SWZ,1964,8.668.903,16.564.809,34.539.026,15.371.215
Ethiopia (former),OWID_ERE,1964,43.470.615,18.660.652,23.199.155,12.831.373
Europe,0,1964,16.527.669,20.412.036,8.406.665,19.191.632
Europe (FAO),0,1964,165.32,203.04,84.222.003,1909.42
European Union (27),0,1964,16.969.798,185.15,89.260.126,17.932.616
European Union (27) (FAO),0,1964,169.8,184,895.14,17.810.598
Fiji,FJI,1964,7.449.536,16.029.945,55.373.303,18.508.776
Finland,FIN,1964,21.778.955,14.728.471,10.793.352,16.451.724
France,FRA,1964,23.876.118,17.353.386,10.128.184,1.840.309
French Polynesia,PYF,1964,11.661.205,13.548.022,5.983.457,15.969.404
Gabon,GAB,1964,122.496,8.451.875,22.373.636,13.818.875
Gambia,GMB,1964,3.875.811,15.804.106,4.628.674,12.224.908
Germany,DEU,1964,18.533.627,14.556.956,10.635.482,16.102.095
Ghana,GHA,1964,43.666.595,10.448.511,2.774.894,14.144.534
Greece,GRC,1964,12.838.449,22.402.477,8.148.169,17.013.837
Grenada,GRD,1964,8.172.406,10.460.063,44.245.377,12.313.875
Guatemala,GTM,1964,48.575.806,17.013.536,32.707.645,1.407.848
Guinea,GIN,1964,14.733.343,16.719.316,3.909.886,15.008.533
Guinea-Bissau,GNB,1964,29.106.674,1.120.718,4.751.276,11.845.305
Guyana,GUY,1964,8.767.851,13.697.314,39.729.083,16.553.833
Haiti,HTI,1964,23.484.392,14.541.951,23.175.862,14.714.988
High-income countries,0,1964,18.606.693,16.718.567,8.549.971,17.281.074
Honduras,HND,1964,4.991.419,14.665.227,29.379.352,13.315.471
Hong Kong,HKG,1964,13.254.523,15.256.157,78.265.607,16.624.081
Hungary,HUN,1964,15.421.202,2.081.281,8.332.139,18.630.312
Iceland,ISL,1964,3.725.989,113.978.485,11.054.135,15.482.743
India,IND,1964,23.888.847,17.727.202,27.171.075,15.162.041
Indonesia,IDN,1964,19.788.857,11.912.972,266.525,14.395.997
Iran,IRN,1964,50.234.657,15.485.626,29.804.947,13.938.895
Iraq,IRQ,1964,53.620.876,17.276.483,3.766.562,14.575.433
Ireland,IRL,1964,23.586.238,17.322.656,10.900.569,19.230.769
Israel,ISR,1964,18.436.887,21.795.343,74.903.094,19.160.079
Italy,ITA,1964,13.274.878,21.660.275,78.595.087,19.541.599
Jamaica,JAM,1964,106.723.495,12.965.315,46.577.383,14.801.902
Japan,JPN,1964,10.079.613,19.184.158,3.618.616,1.921.245
Jordan,JOR,1964,6.795.921,342.597,75.409.296,2.682.933
Kenya,KEN,1964,61.256.123,2.086.206,31.921.518,16.398.824
Kiribati,KIR,1964,7.401.136,9.653.286,74.757.574,891.722
Kuwait,KWT,1964,12.695.957,16.230.838,6.066.299,14.721.019
Land Locked Developing Countries (FAO),0,1964,47.24,184.92,318.15,1537.69
Laos,LAO,1964,24.314.583,17.824.028,17.968.996,1.611.311
Least Developed Countries (FAO),0,1964,37.44,163.96,264.6,1508
Lebanon,LBN,1964,8.588.394,17.916.612,5.817.973,16.249.694
Lesotho,LSO,1964,45.584.488,22.713.272,23.533.705,17.163.284
Liberia,LBR,1964,29.254.162,1.257.539,29.110.815,16.689.988
Low Income Food Deficit Countries (FAO),0,1964,31.12,174.56,28.755.002,15.198.099
Low-income countries,0,1964,40.951.546,18.300.296,29.358.655,15.581.649
Lower-middle-income countries,0,1964,31.915.554,16.806.436,28.573.547,15.024.181
Macao,MAC,1964,8.632.207,17.016.655,7.256.657,15.927.599
Madagascar,MDG,1964,8.024.817,1.806.383,3.134.594,19.383.647
Malawi,MWI,1964,14.729.323,24.293.668,36.262.704,15.376.112
Malaysia,MYS,1964,61.549.442,14.020.995,49.179.642,18.562.894
Maldives,MDV,1964,3.246.094,99.690.285,26.662.946,11.264.923
Mali,MLI,1964,60.997.623,13.411.946,3.367.577,10.843.739
Malta,MLT,1964,12.108.135,21.462.894,7.333.248,17.067.205
Mauritania,MRT,1964,18.366.603,16.212.115,5.162.138,1.371.595
Mauritius,MUS,1964,53.488.052,14.460.411,4.424.957,17.245.834
Mexico,MEX,1964,7.052.958,20.176.816,49.884.055,17.297.496
Micronesia (FAO),0,1964,104.24,135.96,1052.91,12.559.299
Middle Africa (FAO),0,1964,41.6,159.84,332.46,15.221.001
Mongolia,MNG,1964,21.293.163,10.223.991,734.287,10.829.739
Morocco,MAR,1964,36.269.012,20.535.593,2.986.507,17.112.678
Mozambique,MOZ,1964,19.335.066,13.313.702,23.820.665,16.961.112
Myanmar,MMR,1964,31.442.554,12.925.066,30.807.773,10.895.142
Namibia,NAM,1964,1.106.992,16.310.732,4.420.304,16.124.922
Nepal,NPL,1964,2.954.393,14.369.601,22.540.753,12.583.088
Net Food Importing Developing Countries (FAO),0,1964,46.52,167.36,304.56,15.345.599
Netherlands,NLD,1964,21.527.794,13.398.166,11.347.456,14.984.896
New Caledonia,NCL,1964,15.143.681,12.936.192,79.877.704,16.759.259
New Zealand,NZL,1964,2.439.422,14.024.982,10.292.096,15.327.217
Nicaragua,NIC,1964,8.016.131,14.490.851,30.286.353,14.661.931
Niger,NER,1964,51.009.026,12.164.857,25.324.504,11.686.031
Nigeria,NGA,1964,21.617.905,1.634.829,5.065.111,12.719.137
North America,0,1964,21.771.327,14.417.094,9.048.606,15.835.862
North Korea,PRK,1964,47.408.653,21.099.539,20.486.761,1.553.709
Northern Africa (FAO),0,1964,40.4,185.24,35.397.003,1433.39
Northern America (FAO),0,1964,258.92,128.28,1023.3,1503.5
Northern Europe (FAO),0,1964,220.08,146.32,1178.82,1608.78
Norway,NOR,1964,20.613.818,13.993.234,9.921.576,15.220.243
Oceania,0,1964,26.743.903,14.786.299,9.715.704,16.688.652
Oceania (FAO),0,1964,268.76,148.6,976.41,16.772.301
Pakistan,PAK,1964,62.176.693,17.009.853,3.284.317,15.410.966
Panama,PAN,1964,8.712.853,1.289.599,39.624.945,15.487.076
Paraguay,PRY,1964,12.907.498,13.187.479,49.866.925,15.238.438
